name,tags,sugar_g,cholesterol_mg,meal_type,sodium_mg,calories,protein_g,fiber_g,fat_g,serving_size_g,for_diabetes,for_hypertension,for_cholesterol,vegan_friendly,gluten_free,nut_allergy_safe,soy_allergy_safe,lactose_allergy_safe,gluten_allergy_safe,egg_allergy_safe,for_weight_loss,for_weight_gain,for_weight_maintenance,recipe
Chickpea Buddha Bowl,"vegan, gluten-free",5.0,0,lunch,117,320,15,8.0,14,250,True,True,True,True,True,True,True,True,False,True,False,False,True,Prepare and cook Chickpea Buddha Bowl as desired.
Turkey Sandwich,"meat, sandwich, gluten",3.0,40,lunch,483,400,27,5.0,18,200,True,False,True,False,False,True,True,True,False,True,False,False,True,Prepare and cook Turkey Sandwich as desired.
Zucchini Noodles,"low-carb, vegan",2.0,0,lunch,77,230,9,5.0,9,180,True,True,True,True,False,True,True,True,True,True,True,False,False,Prepare and cook Zucchini Noodles as desired.
Eggplant Parmesan,"vegetarian, italian, dairy",6.0,35,lunch,422,370,17,6.0,20,230,True,False,True,False,False,True,True,True,True,True,False,False,True,Prepare and cook Eggplant Parmesan as desired.
Grilled Salmon,"fish, grill",0.0,60,dinner,111,410,39,2.0,20,200,True,True,True,False,False,True,True,True,True,True,False,False,True,Prepare and cook Grilled Salmon as desired.
Veggie Stir Fry,"vegan, asian",5.0,0,dinner,112,260,12,6.0,11,220,True,True,True,True,False,True,True,True,True,True,True,False,False,Prepare and cook Veggie Stir Fry as desired.
Beef Burger,"beef, grill, gluten",12.0,80,dinner,564,600,35,4.0,30,250,False,False,False,False,False,True,True,True,False,True,False,True,False,Prepare and cook Beef Burger as desired.
Gluten-Free Pasta,"gluten-free, pasta",3.0,10,dinner,170,350,14,5.0,16,220,True,False,True,False,True,True,True,True,False,True,False,False,True,"Boil pasta/rice, prepare sauce, then mix."
Stuffed Peppers,"vegetarian, low-fat",4.0,5,dinner,134,280,13,6.0,12,180,True,True,True,False,False,True,True,True,True,True,True,False,False,Prepare and cook Stuffed Peppers as desired.
Chicken Stir Fry,"high-protein, asian",4.0,70,dinner,227,420,31,5.0,16,220,True,False,True,False,False,True,True,True,True,True,False,False,True,Prepare and cook Chicken Stir Fry as desired.
Black Bean Tacos,"vegan, mexican",2.0,0,dinner,194,340,16,8.0,12,200,True,False,True,True,False,True,True,True,True,True,False,False,True,Prepare and cook Black Bean Tacos as desired.
Baked Cod,"fish, low-fat",1.0,50,dinner,104,300,27,2.0,10,190,True,True,True,False,False,True,True,True,True,True,True,False,False,Prepare and cook Baked Cod as desired.
Sweet Potato Curry,"vegan, indian",8.0,0,dinner,154,360,11,7.0,17,260,True,False,True,True,False,True,True,True,True,True,False,False,True,Prepare and cook Sweet Potato Curry as desired.
Greek Salad,"vegetarian, gluten-free",3.0,5,breakfast,300,180,5,3.0,12,200,True,False,True,False,True,True,True,True,False,True,True,False,False,Chop vegetables and mix with dressing.
Veggie Omelette,high-protein,1.0,200,breakfast,450,220,18,1.0,15,150,True,False,False,False,False,True,True,True,True,True,True,False,False,"Beat eggs, cook in pan with fillings, fold and serve."
Avocado Toast,vegetarian,1.0,0,breakfast,220,160,4,5.0,9,100,True,False,True,False,False,True,True,True,True,True,True,False,False,"Toast bread, top with ingredients."
Chia Seed Pudding,"vegan, high-fiber",6.0,0,breakfast,75,240,8,10.0,12,150,True,True,True,True,False,True,True,True,True,True,True,False,False,Prepare and cook Chia Seed Pudding as desired.
Quinoa & Chickpea Salad,"vegan, gluten-free, high-protein",4.0,0,lunch,280,320,12,8.0,9,250,True,False,True,True,True,True,True,True,False,True,False,False,True,Chop vegetables and mix with dressing.
Lentil Soup,"vegan, low-fat, high-fiber",3.0,0,lunch,400,210,12,8.0,3,300,True,False,True,True,False,True,True,True,True,True,True,False,False,"Combine ingredients in pot, simmer until cooked."
Grilled Chicken Salad,"high-protein, low-fat",3.0,75,lunch,350,280,30,4.0,8,250,True,False,True,False,False,True,True,True,True,True,True,False,False,Chop vegetables and mix with dressing.
Tofu Stir Fry,"vegan, high-protein",5.0,0,lunch,500,260,18,4.0,14,200,True,False,True,True,False,True,True,True,True,True,True,False,False,Prepare and cook Tofu Stir Fry as desired.
Grilled Salmon,"high-protein, low-carb",0.0,80,dinner,70,350,34,0.0,20,180,True,True,False,False,False,True,True,True,True,True,False,False,True,Prepare and cook Grilled Salmon as desired.
Stir-Fried Vegetables,"vegan, low-fat",5.0,0,dinner,300,150,5,6.0,4,200,True,False,True,True,False,True,True,True,True,True,True,False,False,Prepare and cook Stir-Fried Vegetables as desired.
Beef & Broccoli,high-protein,4.0,65,dinner,450,330,28,3.0,18,220,True,False,True,False,False,True,True,True,True,True,False,False,True,Prepare and cook Beef & Broccoli as desired.
Margherita Pizza,"italian, vegetarian",4.0,15,dinner,600,300,12,2.0,10,200,True,False,True,False,False,True,True,True,True,True,True,False,False,"Top dough with sauce and cheese, bake until golden."
Pasta Pomodoro,italian,5.0,5,dinner,400,290,8,3.0,6,180,True,False,True,False,False,True,True,True,True,True,True,False,False,"Boil pasta/rice, prepare sauce, then mix."
Caprese Salad,"italian, vegetarian, gluten-free",3.0,25,lunch,300,250,10,2.0,20,150,True,False,True,False,True,True,True,True,False,True,True,False,False,Chop vegetables and mix with dressing.
Minestrone Soup,"italian, vegan, high-fiber",5.0,0,lunch,450,180,7,6.0,4,300,True,False,True,True,False,True,True,True,True,True,True,False,False,"Combine ingredients in pot, simmer until cooked."
Risotto alla Milanese,italian,1.5,20,dinner,500,320,8,1.2,9,180,True,False,True,False,False,True,True,True,True,True,False,False,True,"Boil pasta/rice, prepare sauce, then mix."
Bruschetta,"italian, vegetarian",2.5,0,breakfast,300,150,4,2.0,7,100,True,False,True,False,False,True,True,True,True,True,True,False,False,"Toast bread, top with tomato-basil mixture."
Gluten-Free Pancakes,"gluten-free, vegetarian",6.0,30,breakfast,250,200,5,3.0,8,120,True,False,True,False,True,True,True,True,False,True,True,False,False,"Mix batter, cook on griddle until golden."
Sugar-Free Yogurt Parfait,diabetes-friendly,0.0,5,breakfast,80,100,8,2.0,2,150,True,True,True,False,False,True,True,True,True,True,True,False,False,"Layer yogurt, fruit, and granola in a glass."
Low-Sodium Lentil Stew,"hypertension-friendly, vegan",4.0,0,dinner,140,220,12,8.0,3,300,True,True,True,True,False,True,True,True,True,True,True,False,False,"Combine ingredients in pot, simmer until cooked."
